STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,PRODUCT_CATEGORIES,Product categories,UNIT_MEASURE,Unit of measure,MEASURE,Measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,JPN,Japan,A,Annual,EE_LE,Large equipment,KG_PS,Kilogrammes per person,GEN,Total waste generated,2011,,4.888297,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,JPN,Japan,A,Annual,EE_LE,Large equipment,KG_PS,Kilogrammes per person,GEN,Total waste generated,2012,,4.946145,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,JPN,Japan,A,Annual,EE_LE,Large equipment,KG_PS,Kilogrammes per person,GEN,Total waste generated,2013,,5.00198,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,JPN,Japan,A,Annual,EE_LE,Large equipment,KG_PS,Kilogrammes per person,GEN,Total waste generated,2014,,5.058699,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,JPN,Japan,A,Annual,EE_LE,Large equipment,KG_PS,Kilogrammes per person,GEN,Total waste generated,2015,,5.111603,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,JPN,Japan,A,Annual,EE_LE,Large equipment,KG_PS,Kilogrammes per person,GEN,Total waste generated,2016,,5.158715,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,JPN,Japan,A,Annual,EE_LE,Large equipment,KG_PS,Kilogrammes per person,GEN,Total waste generated,2017,,5.213199,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,JPN,Japan,A,Annual,EE_LE,Large equipment,KG_PS,Kilogrammes per person,GEN,Total waste generated,2018,,5.270828,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,JPN,Japan,A,Annual,EE_LE,Large equipment,KG_PS,Kilogrammes per person,GEN,Total waste generated,2019,,5.330203,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,JPN,Japan,A,Annual,EE_LE,Large equipment,KG_PS,Kilogrammes per person,GEN,Total waste generated,2020,,5.402414,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,JPN,Japan,A,Annual,EE_LE,Large equipment,KG_PS,Kilogrammes per person,GEN,Total waste generated,2021,,5.488346,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,JPN,Japan,A,Annual,EE_LE,Large equipment,KG_PS,Kilogrammes per person,GEN,Total waste generated,2022,,6.104198,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,PER,Peru,A,Annual,EE_LMP,Lamps,KG_PS,Kilogrammes per person,MKT,Products put on the market,2014,,0.1906087,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,PER,Peru,A,Annual,EE_LMP,Lamps,KG_PS,Kilogrammes per person,MKT,Products put on the market,2015,,0.2090834,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,PER,Peru,A,Annual,EE_LMP,Lamps,KG_PS,Kilogrammes per person,MKT,Products put on the market,2016,,0.1801555,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,PER,Peru,A,Annual,EE_LMP,Lamps,KG_PS,Kilogrammes per person,MKT,Products put on the market,2017,,0.227384,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,PER,Peru,A,Annual,EE_LMP,Lamps,KG_PS,Kilogrammes per person,MKT,Products put on the market,2018,,0.1980575,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,PER,Peru,A,Annual,EE_LMP,Lamps,KG_PS,Kilogrammes per person,MKT,Products put on the market,2019,,0.1777368,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,PER,Peru,A,Annual,EE_LMP,Lamps,KG_PS,Kilogrammes per person,MKT,Products put on the market,2020,,0.2030011,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,PER,Peru,A,Annual,EE_LMP,Lamps,KG_PS,Kilogrammes per person,MKT,Products put on the market,2021,,0.2471437,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,PER,Peru,A,Annual,EE_LMP,Lamps,KG_PS,Kilogrammes per person,MKT,Products put on the market,2022,,0.1874182,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,PER,Peru,A,Annual,EE_LMP,Lamps,KG_PS,Kilogrammes per person,MKT,Products put on the market,2023,,0.1785696,,A,Normal value,0,Units,2,Two
